"Family","Rep","Chr8:9719736","ADAR","IFI44","IRF2","IRF8","MDA5","STING","Viperin"
29.034,6,"0",0.002,0.0045,0.017,0.0059,0.0028,0.0167,0.012
29.034,7,"0",8e-04,1e-04,9e-04,0.003,9e-04,0.0059,0.0012
29.034,8,"0",0.0014,0.0046,0.0063,0.0055,0.002,0.0128,0.0066
29.037,1,"0",7e-04,3e-04,0.001,0.0026,0.0012,0.0043,0.0012
29.037,2,"0",0.0014,3e-04,6e-04,0.0032,0.0014,0.0086,0.0015
29.037,3,"0",9e-04,3e-04,8e-04,0.0022,0.0013,0.006,5e-04
29.037,4,"0",9e-04,3e-04,7e-04,0.004,0.0016,0.0064,8e-04
29.037,5,"0",0.0014,4e-04,0.001,0.0038,0.0018,0.0055,0.0015
29.037,6,"0",0.002,4e-04,0.0011,0.0049,0.0024,0.0103,0.0011
29.037,7,"0",0.001,2e-04,4e-04,0.0028,0.0013,0.0049,8e-04
29.037,8,"0",0.0014,5e-04,8e-04,0.0051,0.0016,0.0083,0.0012
29.039,1,"0",5e-04,5e-04,0.0026,0.0043,0.0013,0.0079,7e-04
29.039,2,"0",9e-04,2e-04,0.0038,0.0038,0.001,0.0066,0.0039
29.039,3,"0",0.0011,0.001,0.0059,0.005,0.0021,0.0102,0.0043
29.039,4,"0",6e-04,7e-04,0.0019,0.0039,0.0018,0.0105,0.0011
29.039,5,"0",0.001,6e-04,0.0023,0.0063,0.002,0.0087,0.0042
29.039,6,"0",5e-04,0,0.0018,0.0047,0.0015,0.006,0.0019
29.039,7,"0",5e-04,4e-04,9e-04,0.0042,0.0014,0.006,0.0013
29.039,8,"0",5e-04,4e-04,7e-04,0.0035,9e-04,0.0068,6e-04
29.042,1,"1",7e-04,1e-04,0.0034,0.0019,9e-04,0.0026,8e-04
29.042,2,"1",0.0018,2e-04,0.0272,0.009,0.0036,0.0153,0.0149
29.042,3,"0",0.001,1e-04,0.0019,0.0026,0.0012,0.0031,0.0028
29.042,4,"0",0.0011,1e-04,0.0047,0.0039,0.0023,0.0048,0.0043
29.042,5,"0",0.0013,4e-04,0.0054,0.0037,0.002,0.0073,0.0035
