"Family","Year","Rep","Status"
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",3,1
"27.011","2018",4,0
"27.011","2018",4,0
"27.011","2018",4,0
"27.011","2018",4,0
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.011","2018",4,1
"27.012","2018",1,0
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",1,1
"27.012","2018",2,0
"27.012","2018",2,0
"27.012","2018",2,0
"27.012","2018",2,0
